Marca;Submarca;Modelo;Trans.;Comb.;Cilindros;Potencia (HP);Tamaño (L);Categoría
MAZDA;CX-3;2017;AUT;Gasolina;4;148;2;AUTOS COMPACTOS
SEAT;TOLEDO;2015;DSG;Gasolina;4;122;1,4;AUTOS COMPACTOS
SEAT;TOLEDO;2016;TIPT;Gasolina;4;110;1,6;AUTOS COMPACTOS
SEAT;TOLEDO;2017;TIPT;Gasolina;4;110;1,6;AUTOS COMPACTOS
SEAT;TOLEDO;2013;DSG;Gasolina;4;122;1,4;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2017;AUT;Gasolina;4;150;2;AUTOS COMPACTOS
HYUNDAI;ELANTRA;2018;AUT;Gasolina;4;150;2;AUTOS COMPACTOS
FORD;FOCUS;2012;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2012;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2013;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2013;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
NISSAN;SENTRA;2017;CVT;Gasolina;4;129;1,8;AUTOS COMPACTOS
VW;GOLF;2016;MAN;Gasolina;4;150;1,4;AUTOS COMPACTOS
VW;GOLF;2017;MAN;Gasolina;4;150;1,4;AUTOS COMPACTOS
MITSUBISHI;LANCER;2016;MAN;Gasolina;4;152;2;AUTOS COMPACTOS
MAZDA;MAZDA3;2014;MAN;Gasolina;4;153;2;AUTOS COMPACTOS
MAZDA;MAZDA3;2015;MAN;Gasolina;4;155;2;AUTOS COMPACTOS
MAZDA;MAZDA3;2016;MAN;Gasolina;4;155;2;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;MAN;Gasolina;4;155;2;AUTOS COMPACTOS
MAZDA;MAZDA3;2017;MAN;Gasolina;4;155;2;AUTOS COMPACTOS
CHEVROLET;CRUZE;2018;AUT;Gasolina;4;148;1,4;AUTOS COMPACTOS
NISSAN;TIIDA;2013;MAN;Gasolina;4;106;1,6;AUTOS COMPACTOS
NISSAN;TIIDA;2016;MAN;Gasolina;4;106;1,6;AUTOS COMPACTOS
NISSAN;JUKE;2014;CVT;Gasolina;4;188;1,6;AUTOS COMPACTOS
NISSAN;JUKE;2015;CVT;Gasolina;4;188;1,6;AUTOS COMPACTOS
MAZDA;MAZDA2;2015;MAN;Gasolina;4;102;1,5;AUTOS COMPACTOS
SEAT;TOLEDO;2015;TIPTRONIC;Gasolina;4;105;1,6;AUTOS COMPACTOS
NISSAN;JUKE;2016;CVT;Gasolina;4;188;1,6;AUTOS COMPACTOS
CHEVROLET;MALIBU;2016;AUT;Gasolina;4;160;1,5;AUTOS COMPACTOS
CHEVROLET;MALIBU;2017;AUT;Gasolina;4;160;1,5;AUTOS COMPACTOS
CHEVROLET;MALIBU;2017;AUT;Gasolina;4;160;1,5;AUTOS COMPACTOS
VW;GOLF;2013;DSG;Gasolina;4;160;1,4;AUTOS COMPACTOS
FORD;FOCUS;2017;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2017;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2018;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2014;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2014;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
FORD;FOCUS;2014;MAN;Gasolina;4;250;2;AUTOS COMPACTOS
FORD;FOCUS;2015;AUT;Gasolina;4;160;2;AUTOS COMPACTOS
MAZDA;CX-3;2016;AUT;Gasolina;4;146;2;AUTOS COMPACTOS
SUZUKI;S-CROSS;2016;MAN;Gasolina;4;118;1,6;AUTOS COMPACTOS
SUZUKI;S-CROSS;2015;MAN;Gasolina;4;118;1,6;AUTOS COMPACTOS
SUZUKI;S-CROSS;2017;MAN;Gasolina;4;118;1,6;AUTOS COMPACTOS
MERCEDES;A 200;2018;AUT;Gasolina;4;156;1,6;AUTOS COMPACTOS
MERCEDES;A 200;2016;AUT;Gasolina;4;156;1,6;AUTOS COMPACTOS
MERCEDES;A 200;2016;MAN;Gasolina;4;156;1,6;AUTOS COMPACTOS
MITSUBISHI;LANCER;2016;CVT;Gasolina;4;152;2;AUTOS COMPACTOS
